CLIENTNUM,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1
809976033,"$7,819.00",1560,6259.0,1582,25,0.2,0.827,0.786
716203308,"$2,731.00",1692,1039.0,1220,22,0.62,0.62,0.692
714871683,"$1,438.30",537,901.3,715,13,0.373,0.819,0.182
716139933,"$16,286.00",1710,14576.0,2552,49,0.105,1.223,1.227
716984658,"$34,516.00",0,34516.0,1106,31,0.0,0.507,0.938
713086008,"$2,609.00",2439,170.0,1731,34,0.935,1.269,1.833
713773458,"$7,567.00",1173,6394.0,1435,32,0.155,0.541,0.6
719242533,"$22,770.00",2517,20253.0,1882,38,0.111,0.994,0.652
772712658,"$3,791.00",1648,2143.0,2058,34,0.435,1.227,0.789
788868858,"$2,702.00",2517,185.0,1658,32,0.932,1.019,1.462
811898133,"$2,555.00",2117,438.0,1334,32,0.829,1.049,0.6
788808633,"$2,355.00",1090,1265.0,1441,29,0.463,0.751,0.812
779804208,"$5,332.00",0,5332.0,1371,39,0.0,0.939,1.167
781391058,"$1,443.00",1375,68.0,1991,38,0.953,0.683,0.583
790134408,"$10,741.00",755,9986.0,1278,22,0.07,1.166,1.444
788853258,"$7,984.00",1503,6481.0,1734,39,0.188,0.797,1.167
711857733,"$18,584.00",2517,16067.0,1330,34,0.135,0.703,1.125
822969858,"$5,585.00",1465,4120.0,1787,31,0.262,1.503,0.722
711643458,"$1,438.30",0,1438.3,1439,41,0.0,1.068,1.05
788830683,"$2,478.00",2031,447.0,1558,31,0.82,1.284,0.938
807030858,"$34,516.00",2274,32242.0,1795,47,0.066,0.788,0.679
793059108,"$2,339.00",1440,899.0,893,22,0.616,0.431,0.375
716568708,"$2,726.00",0,2726.0,1099,27,0.0,0.844,0.588
828281733,"$14,881.00",848,14033.0,1408,23,0.057,0.762,1.091
717229158,"$1,628.00",969,659.0,1893,15,0.595,0.999,2.75
715915458,"$3,156.00",1644,1512.0,1151,31,0.521,1.052,1.385
819129858,"$4,745.00",1270,3475.0,1519,31,0.268,0.93,0.938
713441958,"$19,727.00",1785,17942.0,1245,25,0.09,0.572,0.786
719091333,"$22,720.00",793,21927.0,1102,27,0.035,0.685,0.286
708666258,"$8,129.00",1799,6330.0,1402,33,0.221,0.566,0.737
714914583,"$3,751.00",1521,2230.0,1060,30,0.405,0.974,1.308
714363858,"$1,594.00",1411,183.0,1459,35,0.885,0.817,1.188
721347408,"$2,569.00",1403,1166.0,1456,39,0.546,0.886,0.444
809608533,"$18,206.00",1586,16620.0,1439,48,0.087,0.921,1.0
772047183,"$3,104.00",1766,1338.0,1353,24,0.569,0.828,1.182
714217908,"$2,406.00",1560,846.0,1173,32,0.648,0.751,0.391
714819183,"$24,571.00",1955,22616.0,1746,28,0.08,1.174,1.0
