CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Contacts_Count_12_mon
753606108,56.0,M,3,Unknown,Single,3
710940183,49.0,F,3,Graduate,Married,2
718927533,45.0,M,3,Graduate,Single,2
719337408,63.0,M,0,High School,Married,3
772308408,44.0,M,3,Graduate,Single,3
712981383,44.0,F,4,College,Married,2
790099758,40.0,M,3,High School,Married,3
709547658,39.0,M,2,Uneducated,Single,3
778770783,42.0,M,4,High School,Married,0
713134458,54.0,M,3,High School,Married,1
712159083,58.0,F,4,Unknown,Married,3
713639958,46.0,F,4,Graduate,Divorced,1
771180033,47.0,F,4,Unknown,Divorced,2
717916758,67.0,F,0,Unknown,Married,3
711089733,50.0,F,2,College,Divorced,0
716988633,55.0,M,0,High School,Divorced,2
779031033,46.0,F,2,Graduate,Married,3
716302383,47.0,F,4,Uneducated,Married,3
718281408,36.0,F,2,Unknown,Married,2
721333233,40.0,FEMALE,4,Doctorate,Divorced,3
794496033,57.0,m,2,Unknown,Single,3
710519433,48.0,M,1,Unknown,Divorced,0
814995933,58.0,F,3,Graduate,Married,2
721469433,48.0, M ,3,Graduate,Single,3
788386908,48.0,M,3,Graduate,Unknown,2
717198633,53.0,F,2,College,Married   ,1
767695083,50.0,M,2,Graduate,Married,0
711791583,52.0,F,1,Graduate,Single,2
712315683,53.0,FEMALE,2,Uneducated,Single,1
710038008,56.0,F,1,Graduate,Single,1
789129033,44.0,M,5,Unknown,Single,2
718349058,49.0,m,3,High School,Married,2
789842283,54.0,FEMALE,2,Graduate,Married   ,2
714513033,39.0,F,1,Unknown,Single,3
714717483,39.0,F,3,Uneducated,Divorced,2
714900408,41.0,F,4,High School,Married   ,0
719418933,53.0,M,2,Uneducated,Married,3
720115683,47.0,M,3,Uneducated,Married,2
779504058,46.0, M ,2,Post-Graduate,Married,1
795979833,53.0,F,1,High School,Married,2
717392358,60.0,M,1,Graduate,Married,2
718640508,59.0,F,0,Graduate,Single,2
803366358,38.0,M,1,Unknown,Single,1
709230708,56.0,M,4,Uneducated,N/A,2
781794708,35.0,M,3,Post-Graduate,Unknown,3
801383808,50.0,M,3,Graduate,Single,3
710677608,53.0,M,2,Post-Graduate,Unknown,0
708217758,63.0,M,2,Graduate,Married,3
714272658,43.0,F,2,Uneducated,Single,2
717469158,46.0,M,2,Unknown,Married,0
711864783,61.0,M,1,Uneducated,N/A,2
719407983,37.0,F,0,Post-Graduate,Married,2
710665533,42.0,F,5,Doctorate,Married,2
716804283,41.0,M,2,Uneducated,Divorced,2
767294658,56.0,M,2,College,Single,3
709122483,56.0,FEMALE,3,Graduate,Married,0
708241233,52.0,F,3,Post-Graduate,Single,2
717860358,40.0,F,3,High School,Single,2
789337233,63.0,M,1,Graduate,Married   ,2
720902133,58.0,FEMALE,1,High School,Single,0
721043058,58.0, M ,4,Unknown,Married,3
711870333,46.0,M,2,Uneducated,Divorced,3
708398283,37.0,F,1,Graduate,Married,2
715878183,46.0,M,4,Graduate,N/A,3
719451483,46.0,m,4,Post-Graduate,Married,2
709110633,41.0,M,1,Graduate,Married   ,3
721059033,48.0,F,3,High School,Divorced,2
779912283,49.0,F,3,Graduate,Single,2
717701733,44.0,m,2,Graduate,Married   ,2
709913733,39.0,F,3,College,Married,0
718768158,57.0,M,1,College,Single,2
721375308,48.0,M,3,High School,Married,3
711374283,47.0,M,3,High School,Single,0
822893133,56.0,F,1,Uneducated,Divorced,2
778465533,54.0,F,0,College,N/A,2
712138983,54.0,M,1,Graduate,Married   ,2
716920908,52.0,M,4,High School,Married,0
708095133,43.0,M,4,Unknown,Married   ,2
711195558,59.0,M,1,College,Single,3
772735758,44.0,M,1,Unknown,Married,0
712024908,56.0, M ,1,College,Married,3
778239933,45.0,m,4,Graduate,Married,0
714893733,55.0,M,1,High School,Married,3
754886958,48.0,F,3,College,Divorced,3
710104908,56.0,FEMALE,5,College,Single,0
710558883,41.0,M,3,Uneducated,Married,2
713827383,65.0,F,1,High School,Married,0
720267033,34.0,M,4,Post-Graduate,Single,2
712049208,56.0,M,3,Post-Graduate,Married,2
708688608,62.0,F,1,High School,Married,1
716223708,45.0,F,3,Uneducated,Single,3
713217858,38.0,m,2,Uneducated,Single,3
819352983,49.0,M,3,Unknown,Married   ,2
711019308,58.0,FEMALE,2,High School,Single,0
768600558,41.0,F,4,Graduate,Single,3
710202783,33.0,M,2,Graduate,Married,3
712899333,47.0, M ,4,College,Single,2
767036433,56.0,F,1,Graduate,Married,0
793473033,51.0,M,1,Graduate,N/A,3
721232058,49.0,m,1,Graduate,Unknown,3
719443683,50.0,M,1,Unknown,Single,3
715449333,55.0,F,3,Unknown,Married,0
717998058,26.0,M,0,Graduate,Single,2
779610033,58.0,M,1,College,Married,3
827332983,46.0,M,3,High School,Single,2
721183983,48.0,M,4,High School,Married   ,1
718426533,42.0,M,4,Uneducated,Divorced,2
710698233,37.0,M,4,Graduate,Married,2
780253533,63.0,F,0,Unknown,Married,0
793581933,50.0,M,3,High School,Single,4
719229708,41.0,F,1,High School,Single,2
715158483,48.0,F,3,Graduate,Divorced,3
809296308,46.0,M,2,College,Married   ,0
778176108,61.0,m,0,High School,N/A,2
796532958,59.0,F,0,Unknown,Married,2
709345008,53.0,F,2,Doctorate,Married,3
717049533,39.0,F,3,Doctorate,Unknown,0
719366358,51.0,M,3,High School,Married,2
721417233,45.0, M ,2,Graduate,Married,3
711622683,48.0,M,4,Unknown,Single,3
714578283,47.0,M,1,Graduate,Married,0
769574883,41.0,M,2,High School,Married,3
717643608,48.0,M,4,College,Married,2
709198158,50.0,F,4,Graduate,Single,0
712419708,56.0, M ,2,Post-Graduate,Married,2
709103358,39.0,F,2,College,Single,3
716966808,47.0,M,1,Graduate,Married,3
772264383,44.0,M,2,Graduate,Single,3
721057758,61.0,F,1,Unknown,Married   ,3
769137108,43.0,F,2,Post-Graduate,Married,1
717640083,59.0,M,1,High School,Married,3
716445783,42.0,F,2,Uneducated,Married,0
708579633,40.0,M,4,Unknown,Married   ,2
718715583,65.0,M,2,Unknown,Married   ,4
778686408,48.0,M,1,College,Married,2
715015683,44.0,M,2,Graduate,Single,1
805254708,36.0,F,4,Unknown,Married,0
710462433,45.0,M,4,Graduate,Single,2
721342383,39.0,M,2,Graduate,Married,2
720179883,40.0,M,4,College,Unknown,1
794977533,62.0,M,0,High School,Married   ,2
779445108,26.0,M,0,Graduate,Single,2
718193958,60.0,M,0,Uneducated,Single,2
710955633,54.0, M ,3,Doctorate,Single,0
716149383,62.0,m,0,Graduate,Married,3
752604633,57.0, M ,2,College,Married   ,3
713889933,59.0,M,0,Graduate,Single,2
709446783,46.0, M ,4,Graduate,Single,2
789115833,44.0,M,4,High School,Single,2
711242058,48.0,m,4,Unknown,Single,1
787623858,43.0,M,2,Uneducated,Divorced,0
709040508,57.0,M,4,Uneducated,Married,2
708864708,46.0,M,3,College,Unknown,2
717758583,40.0,M,3,High School,N/A,1
715416633,54.0,M,1,Unknown,Married   ,2
717956283,57.0,F,1,Graduate,Single,0
721379433,44.0,M,4,Graduate,Married,3
712027683,47.0,F,2,Doctorate,Married,2
716027208,47.0,M,4,Doctorate,N/A,1
720475233,50.0,F,2,High School,N/A,3
712275108,53.0,F,3,College,Married,3
718121658,56.0,M,1,College,Married,3
711593808,55.0,M,1,High School,N/A,3
716222808,53.0,m,4,High School,N/A,3
718731183,61.0,M,1,Unknown,Married   ,2
788779008,57.0,M,2,High School,Married,2
710404533,50.0,M,2,Graduate,Married,1
711173058,56.0,F,2,Unknown,Married,0
715383108,52.0,M,2,Graduate,Single,1
711697158,60.0,M,0,Graduate,Married,2
709186983,49.0,M,4,Uneducated,Married,1
808964433,46.0, M ,4,Doctorate,Divorced,1
711948333,42.0,M,1,Uneducated,Married,2
710541858,45.0,M,3,High School,Married   ,0
713865333,45.0,F,4,Uneducated,Married,3
797707008,44.0,F,3,Doctorate,Married   ,3
713490483,61.0,M,0,Uneducated,Married   ,2
720370533,55.0,M,3,Uneducated,Married,2
779743908,44.0,M,4,Unknown,Divorced,2
718675158,55.0,F,1,Unknown,Married   ,3
710784333,57.0,M,2,Unknown,Married,2
816596583,45.0,M,2,Doctorate,Married,1
717517758,57.0,F,0,High School,Married,2
712880283,31.0,M,0,Uneducated,Married,0
753226158,34.0, M ,2,Graduate,Married,2
720605808,53.0,FEMALE,1,Graduate,Single,3
758317233,35.0,F,1,College,Single,2
711028308,44.0,FEMALE,4,Graduate,Married,0
814852533,50.0,M,1,Graduate,Married,2
711526533,33.0,M,3,Post-Graduate,Married,3
804403908,50.0,M,3,Graduate,Single,3
716999883,51.0,M,4,High School,Married,0
716452083,56.0,F,4,Unknown,N/A,2
787599258,55.0,F,3,Graduate,Single,2
714495258,26.0,M,0,College,N/A,3
717713283,42.0,F,3,Graduate,Married,3
789317883,54.0,M,2,College,Married,3
714500883,44.0,F,3,Graduate,Married   ,3
789467508,65.0,F,0,Graduate,Married,0
710317758,38.0,FEMALE,3,High School,Married,2
711231558,58.0,M,3,High School,Married,3
716829483,39.0,F,3,Post-Graduate,Married,2
779713608,52.0,M,2,High School,Married,2
